LESTE,NORTE,ANOM
514000,9857000,18.68798828125
514500,9857000,18.1501922607422
515000,9857000,17.3012275695801
515500,9857000,16.395393371582
516000,9857000,15.5492782592773
516500,9857000,14.7602577209473
517000,9857000,14.0526657104492
517500,9857000,13.5031147003174
518000,9857000,13.0902156829834
518500,9857000,12.8594207763672
519000,9857000,12.9288539886475
519500,9857000,13.3807849884033
520000,9857000,13.8306064605713
520500,9857000,13.9025058746338
521000,9857000,14.1016693115234
521500,9857000,15.6665802001953
522000,9857000,17.9507942199707
522500,9857000,20.5604591369629
523000,9857000,23.3271446228027
523500,9857000,26.1123390197754
524000,9857000,28.7441864013672
524500,9857000,30.8601226806641
525000,9857000,32.2973213195801
525500,9857000,32.4924278259277
526000,9857000,32.0225257873535
526500,9857000,31.5010452270508
527000,9857000,31.033821105957
527500,9857000,30.4716300964355
528000,9857000,30.499927520752
528500,9857000,31.3688354492188
529000,9857000,33.140941619873
529500,9857000,35.185661315918
530000,9857000,36.9263114929199
530500,9857000,35.9495582580566
531000,9857000,35.744873046875
531500,9857000,36.2481918334961
532000,9857000,36.9611854553223
532500,9857000,37.5751533508301
533000,9857000,37.8828430175781
533500,9857000,37.7457466125488
534000,9857000,37.1312370300293
534500,9857000,36.1422920227051
535000,9857000,35.2399444580078
535500,9857000,36.3621864318848
536000,9857000,38.1506881713867
536500,9857000,39.936767578125
537000,9857000,41.2192764282227
537500,9857000,41.9178581237793
538000,9857000,43.1754417419434
538500,9857000,43.1878471374512
539000,9857000,43.017219543457
539500,9857000,42.9013557434082
540000,9857000,42.9237861633301
540500,9857000,42.9839782714844
541000,9857000,42.9522514343262
541500,9857000,42.8918418884277
542000,9857000,42.9128036499023
542500,9857000,43.0402565002441
543000,9857000,43.2257423400879
543500,9857000,43.2322578430176
544000,9857000,42.9947090148926
544500,9857000,42.7109756469727
545000,9857000,42.7057037353516
545500,9857000,42.8118515014648
546000,9857000,41.9201698303223
546500,9857000,41.0052375793457
547000,9857000,40.772834777832
547500,9857000,41.3377075195313
548000,9857000,41.9916915893555
548500,9857000,41.7137870788574
549000,9857000,40.8349761962891
549500,9857000,39.7667198181152
550000,9857000,39.0105133056641
550500,9857000,39.0068016052246
551000,9857000,39.4472427368164
551500,9857000,37.6616554260254
552000,9857000,36.0013198852539
552500,9857000,34.6330871582031
553000,9857000,33.3667526245117
553500,9857000,31.9662055969238
554000,9857000,30.3625526428223
554500,9857000,28.7433891296387
555000,9857000,27.5220069885254
555500,9857000,27.2403564453125
556000,9857000,27.0444488525391
556500,9857000,26.7861328125
557000,9857000,26.4885711669922
557500,9857000,26.1570472717285
558000,9857000,25.7569999694824
558500,9857000,25.344051361084
559000,9857000,25.0013160705566
559500,9857000,24.9406776428223
560000,9857000,24.8745994567871
560500,9857000,24.6747550964355
561000,9857000,24.3479270935059
561500,9857000,24.129638671875
562000,9857000,24.6535911560059
562500,9857000,25.3738441467285
563000,9857000,26.1165618896484
563500,9857000,26.8530807495117
564000,9857000,27.5872802734375
564500,9857000,28.3161964416504
565000,9857000,29.0660591125488
565500,9857000,30.0295448303223
566000,9857000,31.2573699951172
566500,9857000,32.6182861328125
567000,9857000,33.9955787658691
567500,9857000,34.436767578125
568000,9857000,34.9388656616211
568500,9857000,35.4742736816406
569000,9857000,35.9477653503418
569500,9857000,36.3106307983398
570000,9857000,36.4647026062012
570500,9857000,36.5113372802734
571000,9857000,36.8705368041992
571500,9857000,37.2601661682129
572000,9857000,37.6168327331543
572500,9857000,38.0389862060547
573000,9857000,38.4940795898438
573500,9857000,38.9882469177246
574000,9857000,39.4547805786133
574500,9857000,39.8735847473145
575000,9857000,40.2228050231934
575500,9857000,40.504508972168
576000,9857000,40.7562255859375
576500,9857000,41.020076751709
577000,9857000,41.3442077636719
577500,9857000,41.7312469482422
578000,9857000,41.55810546875
578500,9857000,41.4154434204102
579000,9857000,41.4174995422363
579500,9857000,41.5647964477539
580000,9857000,41.5457077026367
580500,9857000,40.7684936523438
581000,9857000,40.5252571105957
581500,9857000,41.3868408203125
582000,9857000,42.6985740661621
582500,9857000,43.8078498840332
583000,9857000,43.0141563415527
583500,9857000,42.2930068969727
584000,9857000,42.0507583618164
584500,9857000,42.0775489807129
585000,9857000,42.0121383666992
585500,9857000,40.5959701538086
586000,9857000,39.2983627319336
586500,9857000,38.229606628418
587000,9857000,37.3797798156738
587500,9857000,36.702220916748
588000,9857000,36.0600395202637
588500,9857000,35.1728706359863
589000,9857000,34.0734596252441
589500,9857000,32.7582130432129
590000,9857000,31.3855514526367
590500,9857000,30.0665092468262
591000,9857000,28.7488327026367
591500,9857000,27.0025634765625
592000,9857000,25.0637130737305
592500,9857000,23.1863098144531
593000,9857000,21.5998382568359
593500,9857000,20.1813163757324
594000,9857000,18.1074676513672
594500,9857000,16.5638885498047
595000,9857000,15.5932273864746
514000,9857500,18.7994194030762
514500,9857500,18.4174270629883
515000,9857500,17.4709854125977
515500,9857500,16.5561904907227
516000,9857500,15.7037506103516
516500,9857500,14.8213539123535
517000,9857500,13.9735431671143
517500,9857500,13.5026817321777
518000,9857500,13.1630821228027
518500,9857500,12.8794021606445
519000,9857500,12.7778377532959
519500,9857500,12.9798774719238
520000,9857500,13.7082748413086
520500,9857500,14.3164138793945
521000,9857500,14.9736862182617
521500,9857500,16.1829261779785
522000,9857500,17.8526077270508
522500,9857500,19.882022857666
523000,9857500,22.2160224914551
523500,9857500,24.6981010437012
524000,9857500,27.1385192871094
524500,9857500,29.7938995361328
525000,9857500,31.5722122192383
525500,9857500,31.8365364074707
526000,9857500,31.2657203674316
526500,9857500,30.6363639831543
527000,9857500,30.1066436767578
527500,9857500,29.1438179016113
528000,9857500,28.7692947387695
528500,9857500,29.2351913452148
529000,9857500,30.5885696411133
529500,9857500,31.9709243774414
530000,9857500,32.8576927185059
530500,9857500,33.2852592468262
531000,9857500,33.9867897033691
531500,9857500,34.9723587036133
532000,9857500,35.9874572753906
532500,9857500,36.9437370300293
533000,9857500,37.5686988830566
533500,9857500,37.6216850280762
534000,9857500,37.1709022521973
534500,9857500,36.4569053649902
535000,9857500,35.920482635498
535500,9857500,36.5711555480957
536000,9857500,38.2897529602051
536500,9857500,40.2220230102539
537000,9857500,42.0341110229492
537500,9857500,43.8678283691406
538000,9857500,45.7335433959961
538500,9857500,44.6822204589844
539000,9857500,43.6483306884766
539500,9857500,42.9443550109863
540000,9857500,42.6771202087402
540500,9857500,42.6549987792969
541000,9857500,42.737247467041
541500,9857500,42.8870086669922
542000,9857500,43.1580467224121
542500,9857500,43.5436706542969
543000,9857500,44.0232353210449
543500,9857500,44.3578071594238
544000,9857500,44.4167289733887
544500,9857500,44.3511047363281
545000,9857500,44.3874702453613
545500,9857500,44.3781814575195
546000,9857500,43.9515342712402
546500,9857500,43.4225196838379
547000,9857500,43.2318878173828
547500,9857500,43.5160789489746
548000,9857500,43.8861236572266
548500,9857500,43.8266410827637
549000,9857500,43.3298835754395
549500,9857500,42.3657569885254
550000,9857500,41.5606231689453
550500,9857500,41.2109451293945
551000,9857500,40.9762306213379
